"","","","","","","","","PERKHIDMATAN ETS","","","","","","","","","","","",""
"","","","","","","","","ETS SERVICE","","","","","","","","","","","",""
"TREN KE SELATAN","","","","","","","","","","","","","","","","","","","",""
"Southbound Train","","","","","","","","","","","","","","","","","","","",""
"STESEN/STATION","","","","","","","","","","","","","","","","","","","",""
"","EG9041","EP9523","","EP9121 EP9123 EG9045","","EG9343","","EP9223 EG9049 EP9225","","EP9531","EX9109","","EP9533 EG9449","","EX9011 EX9209 EP9133","","EP9537","","EG9055 EP9233 EP9135",""
"PADANG BESAR","","","","","","","07:20","","09:45","","","","12:05","","13:50","","","","17:00",""
"","","","","","","","07:38","","10:03","","","","12:23","","14:07","","","","17:18",""
"ANAK BUKIT","","","","","","","-","","-","","","","12:39","","-","","","","-",""
"ALOR SETAR","","","","","","","07:59","","10:24","","","","12:45","","14:26","","","","17:39",""
"GURUN","","","","","","","-","","-","","","","13:03","","-","","","","-",""
"SUNGAI PETANI","","","","","","","08:29","","10:54","","","","13:15","","14:54","","","","18:08",""
"TASEK GELUGOR","","","","","","","08:41","","11:06","","","","13:27","","-","","","","18:20",""
"BUTTERWORTH","","","05:15","06:30","","07:50","-","","-","","13:05","","-","","-","16:05","","","-","18:45"
"BUKIT MERTAJAM","","","05:26","06:41","","08:01","-","","-","","13:15","","-","","-","16:16","","","-","18:56"
"NIBONG TEBAL","","","-","-","","08:15","-","","-","","-","","13:49","","-","-","","","-","-"
"PARIT BUNTAR","","","05:43","06:58","","08:19","09:08","","11:33","","-","","13:53","","-","16:33","","","18:47","19:13"
"BAGAN SERAI","","","-","-","","08:27","-","","-","","-","","14:01","","-","-","","","-","-"
"TAIPING","","","06:11","07:26","","08:49","09:36","","12:01","","13:56","","14:22","","15:54","17:01","","","19:15","19:41"
"KUALA KANGSAR","","","06:27","07:42","","09:06","09:52","","12:17","","-","","14:39","","-","17:17","","","19:31","19:57"
"SUNGAI SIPUT","","","-","-","","09:17","-","","-","","-","","14:51","","-","-","","","-","-"
"","05:00","","06:56","08:11","09:00","09:36","10:21","12:05","12:46","","14:40","","15:10","15:55","16:37","17:46","","19:00","20:00","20:26"
"BATU GAJAH","05:13","","07:10","08:25","09:13","09:50","10:35","12:18","13:00","","-","","15:24","16:04","-","18:00","","19:13","20:14","20:40"
"KAMPAR","05:26","","07:23","08:38","09:26","10:03","10:48","12:31","13:13","","-","","15:37","-","-","18:13","","19:26","20:27","20:53"
"TAPAH ROAD","05:36","","-","-","09:36","10:13","-","12:41","-","","-","","15:47","-","-","-","","19:36","-","-"
"SUNGKAI","05:48","","-","-","09:48","-","-","12:53","-","","-","","-","-","-","-","","19:48","-","-"
"SLIM RIVER","06:01","","-","-","10:01","-","-","13:06","-","","-","","-","-","-","-","","20:01","-","-"
"TANJUNG MALIM","06:15","","08:07","09:22","10:15","10:52","11:32","13:20","13:57","","-","","16:26","-","-","18:57","","20:15","21:11","21:37"
"BATANG KALI","-","","-","-","-","11:11","-","-","-","","-","","-","-","-","-","","-","-","-"
"RAWANG","06:50","","-","-","10:50","-","-","13:55","-","","-","","17:01","-","-","-","","20:50","-","-"
"SUNGAI BULOH","07:05","","08:54","10:09","11:05","11:42","12:19","14:10","14:44","","-","","17:16","-","18:19","19:44","","21:05","21:59","22:24"
"KEPONG SENTRAL","07:13","","-","-","11:13","-","-","14:18","-","","-","","-","-","-","-","","21:13","-","-"
"KUALA LUMPUR","07:30","","09:16","10:31","11:30","12:06","12:41","14:35","15:06","","16:37","","17:40","17:52","18:37","20:06","","21:30","22:21","22:46"
"KL SENTRAL","07:34","07:55","09:20","10:35","11:34","12:15","12:45","14:39","15:10","15:15","16:40","17:35","17:50","17:55","18:40","20:10","21:10","21:34","22:25","22:50"
"BANDAR TASIK SELATAN","","08:09","","","","12:30","","","","15:29","","17:49","18:06","","","","21:24","","",""
"KAJANG","","08:28","","","","12:49","","","","15:48","","18:08","18:25","","","","21:43","","",""
"SEREMBAN","","09:13","","","","13:39","","","","16:33","","18:53","19:15","","","","22:28","","",""
"PULAU SEBANG / TAMPIN","","09:42","","","","14:07","","","","17:02","","19:22","19:45","","","","22:57","","",""
"BATANG MELAKA","","09:57","","","","14:22","","","","17:17","","19:37","20:01","","","","23:12","","",""
"GEMAS","","10:15","","","","14:42","","","","17:35","","19:55","20:20","","","","23:30","","",""
"SEGAMAT","","10:31","","","","14:57","","","","17:51","","20:11","20:36","","","","23:46","","",""
"","","10:53","","","","","","","","18:13","","20:33","20:58","","","","00:08","","",""
"BEKOK","","11:03","","","","","","","","18:23","","20:43","21:08","","","","00:18","","",""
"PALOH","","11:14","","","","","","","","18:34","","20:54","21:19","","","","00:29","","",""
"KLUANG","","11:29","","","","","","","","18:49","","21:09","21:34","","","","00:44","","",""
"RENGAM","","11:41","","","","","","","","19:01","","21:21","21:47","","","","00:56","","",""
"LAYANG-LAYANG","","11:47","","","","","","","","19:07","","21:27","","","","","01:02","","",""
"","","","","","","","","","","","","","21:55","","","","","","",""
