0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"JADUAL WAKTU PERKHIDMATAN KTM KOMUTER BATU CAVES KE PULAU SEBANG SABTU, AHAD DAN CUTI UMUM MULAI 18 APRIL 2026",,,,,,,,,,,,,,,,,
NOMBOR TRIP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NOMBOR TREN,2203,2207,2211,2215,2219,2223,2227,2231,2235,2239,2243,2245,2249,2255,2259,2263,2267
BATU CAVES,7:00,8:05,9:05,10:00,11:00,12:00,13:00,14:00,15:00,15:40,16:30,17:00,17:50,18:40,19:45,20:45,21:45
TAMAN WAHYU,7:04,8:09,9:09,10:04,11:04,12:04,13:04,14:04,15:04,15:44,16:34,17:04,17:54,18:44,19:49,20:49,21:49
KAMPUNG BATU,7:07,8:12,9:12,10:07,11:07,12:07,13:07,14:07,15:07,15:47,16:37,17:07,17:57,18:47,19:52,20:52,21:52
BATU KENTONMEN,7:09,8:14,9:14,10:09,11:09,12:09,13:09,14:09,15:09,15:49,16:39,17:09,17:59,18:49,19:54,20:54,21:54
SENTUL,7:13,8:18,9:18,10:13,11:13,12:13,13:13,14:13,15:13,15:53,16:43,17:13,18:03,18:53,19:58,20:58,21:58
PUTRA,7:19,8:24,9:24,10:19,11:19,12:19,13:19,14:19,15:19,15:59,16:49,17:19,18:09,18:59,20:04,21:04,22:04
BANK NEGARA,7:22,8:27,9:27,10:22,11:22,12:22,13:22,14:22,15:22,16:02,16:52,17:22,18:12,19:02,20:07,21:07,22:07
KUALA LUMPUR,7:26,8:31,9:31,10:26,11:26,12:26,13:26,14:26,15:26,16:06,16:56,17:26,18:16,19:06,20:11,21:11,22:11
KL SENTRAL,7:31,8:36,9:36,10:31,11:31,12:31,13:31,14:31,15:31,16:11,17:01,17:31,18:21,19:11,20:16,21:16,22:16
MIDVALLEY,7:37,8:42,9:42,10:37,11:37,12:37,13:37,14:37,15:37,16:17,17:07,17:37,18:28,19:18,20:22,21:22,22:22
SEPUTEH,,,,,,,,,,,,,18:30,19:20,,,
SALAK SELATAN,,,,,,,,,,,,,18:36,19:26,,,
BANDAR TASEK SELATAN,,,,,,,,,,,,,18:43,19:33,,,
SERDANG,,,,,,,,,,,,,19:01,19:41,,,
KAJANG,,,,,,,,,,,,,19:13,20:08,,,
KAJANG 2,,,,,,,,,,,,,19:16,20:11,,,
UKM,,,,,,,,,,,,,19:19,20:14,,,
BANGI,,,,,,,,,,,,,19:27,20:22,,,
BATANG BENAR,,,,,,,,,,,,,19:50,20:35,,,
NILAI,,,,,,,,,,,,,19:56,20:41,,,
LABU,,,,,,,,,,,,,20:03,20:48,,,
TIROI,,,,,,,,,,,,,20:09,20:54,,,
SEREMBAN,,,,,,,,,,,,,20:17,21:02,,,
SENAWANG,,,,,,,,,,,,,20:23,21:08,,,
SUNGAI GADUT,,,,,,,,,,,,,20:28,21:13,,,
REMBAU,,,,,,,,,,,,,20:41,21:36,,,
PULAU SEBANG,,,,,,,,,,,,,20:58,21:53,,,
