0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
JADUAL WAKTU PERKHIDMATAN KTM KOMUTER BATU CAVES KE PULAU SEBANG HARI BEKERJA MULAI 27 APRIL 2026,,,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NOMBOR TREN,,2003,2005,2007,2009,2011,2013,2015,2019,2023,2027,2031,2035,2041,2043,2045,2047,2049,2051,2055,2057,2059,2063,2067
BATU CAVES,50600,6:30,7:00,7:35,8:05,8:35,9:05,10:00,11:00,12:00,13:00,14:00,15:00,16:05,16:30,17:00,17:35,18:05,18:35,18:50,19:15,19:45,20:45,21:45
TAMAN WAHYU,50500,6:34,7:04,7:39,8:09,8:39,9:09,10:04,11:04,12:04,13:04,14:04,15:04,16:09,16:34,17:04,17:39,18:09,18:39,18:54,19:19,19:49,20:49,21:49
KAMPUNG BATU,50400,6:37,7:07,7:42,8:12,8:42,9:12,10:07,11:07,12:07,13:07,14:07,15:07,16:12,16:37,17:07,17:42,18:12,18:42,18:57,19:22,19:52,20:52,21:52
BATU KENTONMEN,50300,6:39,7:09,7:44,8:14,8:44,9:14,10:09,11:09,12:09,13:09,14:09,15:09,16:14,16:39,17:09,17:44,18:14,18:44,18:59,19:24,19:54,20:54,21:54
SENTUL,50000,6:43,7:13,7:48,8:18,8:48,9:18,10:13,11:13,12:13,13:13,14:13,15:13,16:18,16:43,17:13,17:48,18:18,18:48,19:03,19:28,19:58,20:58,21:58
PUTRA,18800,6:49,7:19,7:54,8:24,8:54,9:24,10:19,11:19,12:19,13:19,14:19,15:19,16:24,16:49,17:19,17:54,18:24,18:54,19:09,19:34,20:04,21:04,22:04
BANK NEGARA,18900,6:52,7:22,7:57,8:27,8:57,9:27,10:22,11:22,12:22,13:22,14:22,15:22,16:27,16:52,17:22,17:57,18:27,18:57,19:12,19:37,20:07,21:07,22:07
KUALA LUMPUR,19000,6:56,7:26,8:01,8:31,9:01,9:31,10:26,11:26,12:26,13:26,14:26,15:26,16:31,16:56,17:26,18:01,18:31,19:01,19:16,19:41,20:11,21:11,22:11
KL SENTRAL,19100,6:59,7:31,8:06,8:36,9:11,9:36,10:31,11:31,12:31,13:31,14:31,15:31,16:36,17:01,17:29,18:06,18:36,19:06,19:21,19:46,20:16,21:16,22:16
MIDVALLEY,19205,,7:37,8:12,8:42,9:17,9:42,10:37,11:37,12:37,13:37,14:37,15:37,16:43,17:07,,18:13,18:43,19:13,19:28,19:52,20:22,21:22,22:22
SEPUTEH,19300,,,,,,,,,,,,,16:45,,,18:15,18:45,19:15,19:30,,,,
SALAK SELATAN,19400,,,,,,,,,,,,,16:56,,,18:21,18:51,19:21,19:36,,,,
BANDAR TASEK SELATAN,19600,,,,,,,,,,,,,17:02,,,18:27,18:57,19:27,19:43,,,,
SERDANG,19900,,,,,,,,,,,,,17:10,,,18:35,19:10,19:35,19:51,,,,
KAJANG,20400,,,,,,,,,,,,,17:21,,,18:45,19:21,19:46,20:02,,,,
KAJANG 2,20402,,,,,,,,,,,,,17:24,,,18:59,19:24,19:49,20:16,,,,
UKM,20500,,,,,,,,,,,,,17:27,,,19:02,19:27,19:52,20:19,,,,
BANGI,20900,,,,,,,,,,,,,17:33,,,19:08,19:33,20:03,20:27,,,,
BATANG BENAR,21300,,,,,,,,,,,,,17:45,,,19:20,19:50,20:15,20:40,,,,
NILAI,21500,,,,,,,,,,,,,17:51,,,19:26,19:56,20:21,20:46,,,,
LABU,22000,,,,,,,,,,,,,18:18,,,19:43,20:03,20:28,20:53,,,,
TIROI,22400,,,,,,,,,,,,,18:24,,,19:49,20:09,20:34,20:59,,,,
SEREMBAN,22700,,,,,,,,,,,,,18:32,,,19:57,20:17,20:42,21:07,,,,
SENAWANG,22900,,,,,,,,,,,,,18:38,,,20:03,20:23,20:48,21:13,,,,
SUNGAI GADUT,23100,,,,,,,,,,,,,18:43,,,20:08,20:28,20:53,21:28,,,,
REMBAU,23900,,,,,,,,,,,,,18:56,,,20:21,20:41,21:06,21:41,,,,
PULAU SEBANG,25100,,,,,,,,,,,,,19:13,,,20:38,20:58,21:23,21:58,,,,
